"243_120426"	"429_120507"	"486_120515"	"520_120515"	"708_120531"	"663_120530"	"607_120523"	"602_120523"	"384_120503"	"444_120507"	"545_120516"	"369_120502"	"637_120524"	"196_120424"	"952_131107"	"289_120430"	"500_120515"	"706_120605"	"711_120531"	"407_120503"	"508_120515"	"829_130725"	"787_130530"	"298_120430"	"564_120517"	"460_120514"	"626_120524"	"680_120604"	"638_120524"	"605_120523"	"502_120515"	"360_120502"	"369_120502"	"04_120405"	"501_120515"	"253_120426"	"470_120514"	"534_120516"	"352_120501"	"331_120501"	"505_120515"	"551_120517"	"498_120515"	"938_131101"	"456_120507"	"691_120605"	"152_120419"	"647_120529"	"285_120430"	"213_120425"	"950_131107"	"461_120514"	"386_120503"	"812_130702"	"405_120503"	"340_120501"	"274_120430"	"547_120516"	"951_131107"
"Q06413"	759.0201946	796.9588282	801.4582682	781.9625513	821.4329535	880.8160616	775.7606676	693.9240862	812.0418779	737.453518	712.092579	782.1631292	838.3234172	787.1778391	746.8386734	873.2322077	806.3817269	754.3552707	791.6253378	1190.392252	791.2476696	781.9242363	936.1312228	694.7455835	672.9009635	899.7529782	791.302447	836.1474876	772.9626812	813.3625212	755.4908232	768.9349429	782.1631292	603.4732484	749.1590025	734.2371655	744.1495768	811.0569781	761.8409543	718.533303	639.4842188	838.4670012	707.1011252	900.7108476	821.7737488	809.5225136	795.7209918	740.9433741	754.6230161	815.3840777	NA	759.6085351	731.9945376	778.950065	723.9306707	820.0756751	784.3082438	794.1278787	780.5789852
"P25713"	40234.18584	33539.95679	35203.18938	36313.16945	28876.98323	28397.58978	45547.39921	33698.05954	37522.41107	39467.13742	31227.29805	32849.18007	40043.2567	32337.15261	35551.59241	28154.8408	37568.22056	45476.03554	27564.73755	23973.06524	33846.64488	40786.70824	32101.95005	32126.11438	30690.64822	41081.99891	29863.17031	33508.23402	38358.80641	32357.50999	30717.27503	31607.10293	32849.18007	32775.42215	40724.67854	32559.45616	38631.96475	33511.94902	33585.40432	27587.51023	24279.28613	30484.29006	29153.25488	38128.75356	41283.44724	23606.91172	24790.77382	32712.93726	32712.17282	32034.82379	33245.3499	38541.20483	32024.53929	40401.84876	27832.83894	25880.89152	29893.90179	37520.47223	29712.20948
"Q9UIJ7"	35298.69628	44585.42205	43562.95871	47179.00243	43081.82449	40859.47072	53864.139	38346.06076	46462.34406	33706.23103	42759.23846	51516.21914	43703.24868	41463.97996	43865.4236	38389.93654	32286.58001	48948.52728	43827.63921	36919.33103	44903.10247	42450.89827	38110.40702	39525.61425	41816.0613	52776.11083	46253.41796	44080.31	34924.95318	36793.25887	41847.62754	44306.14207	51516.21914	34126.38136	41973.54605	35802.76233	41438.20412	46544.53112	43273.69309	42989.32281	40739.61897	46012.60913	45407.56472	47056.33532	40283.96986	43375.20802	35291.21617	45901.26085	43785.34442	50045.10606	42196.69986	50302.11305	38091.24727	36924.54891	47027.09239	36625.05635	43121.75888	42462.78349	41778.98812
"O60942"	348.1299576	265.682033	338.9926237	378.3056232	302.6833456	NA	NA	351.3825766	NA	340.8277075	345.6236672	329.3356047	453.4196955	342.4716583	409.5738021	384.0515467	771.950372	438.6987083	352.685843	NA	NA	393.5121127	NA	343.9394326	356.4021253	359.7494862	NA	337.0546897	345.3674773	362.1962738	NA	392.5401437	329.3356047	207.0183731	400.5314387	327.892489	316.012844	330.534458	287.4628045	267.7164834	273.8955042	NA	NA	NA	NA	344.6659846	450.5825771	353.884324	318.4302555	357.706326	NA	NA	284.1286791	318.5215781	394.8439153	343.9465237	333.9785393	358.4605847	335.9586327
"Q6F5E8"	10183.66482	11145.11004	8979.642884	10390.66555	10201.63954	13353.90277	10370.59536	9623.399099	10862.99567	9230.376672	9114.971541	10440.60626	9856.908369	9983.292838	10454.38313	10226.82341	7513.686415	9720.707381	10350.55881	11907.71826	9664.606947	10535.21967	10182.23862	9880.465791	11607.29094	10039.03777	10202.76076	10684.45991	11245.26804	10101.80263	10050.85662	9806.657342	10440.60626	11764.50977	10202.41677	10024.96983	9916.756701	9845.737401	9897.584954	10735.29514	10223.23038	9960.136936	10280.07593	10638.14228	11557.66739	10268.94872	11813.75381	10595.66964	10022.66861	10437.84831	9688.602821	10773.51752	10177.22964	11069.45563	10308.14767	9383.553568	10189.28443	10701.47118	10468.03159
"Q00577"	47381.64325	45415.30444	45895.82577	46696.11658	45170.75152	48990.69278	47853.91504	41060.09872	45638.31566	44983.08897	47701.07795	48087.11038	44269.87611	41013.71645	44485.10309	43620.58949	52301.06146	45124.56966	43216.90486	41095.75928	44724.61571	45222.86335	47237.69487	42956.64617	45940.91446	44572.18661	49271.783	45209.39212	42046.53708	44148.52119	45190.35083	47216.66033	48087.11038	54655.96697	46208.40196	43353.36613	44734.92496	45309.64357	45120.41992	46589.33273	43102.28554	45234.43257	44932.73424	42826.8311	42577.31949	41072.77219	42406.60288	49254.90769	45220.8194	44376.86382	44741.13569	49188.43342	48817.79516	45089.73679	45898.35986	42761.06063	39996.68225	44462.99101	44326.5487
"Q9C0J8"	657.5986425	667.6707162	667.610812	641.4192622	573.6465982	732.1283278	NA	681.0548112	NA	631.3393822	626.6451499	451.4219837	591.5632556	606.8688316	588.0054633	630.9245379	1112.121199	524.0921108	608.6216603	NA	813.6624104	622.5653291	610.8678483	657.7166355	582.261383	618.0975096	529.3069726	636.2977754	655.3242382	618.0297818	NA	609.7195327	451.4219837	599.434896	605.9208122	621.0202687	653.5804671	570.6135403	658.3970007	619.0036246	581.1846319	NA	550.0050631	NA	621.3622944	653.9606118	726.8399945	617.1618474	592.589423	625.2640345	599.2139402	283.6194187	588.0655483	628.3357381	NA	685.5120337	566.7909574	592.6441988	618.0418328
"Q9UGI8"	515.2165335	NA	517.9396154	NA	NA	NA	496.9868158	490.7234941	NA	536.9860071	578.3330174	498.6078685	NA	437.982428	463.6912993	450.2993875	NA	NA	472.1775549	NA	496.272715	526.7500486	604.9216568	520.1318832	NA	511.3940026	501.4239174	500.04003	496.2779697	530.0774116	449.8047918	466.9849064	498.6078685	408.943671	NA	472.9487176	NA	NA	465.7489762	505.2067889	NA	NA	522.6333924	NA	504.3191597	NA	900.6460944	NA	486.8523186	544.5810182	NA	500.367231	483.568169	NA	NA	549.581788	574.4709584	NA	435.8021137
"Q13185"	5816.504858	5832.479377	6100.180832	5644.603305	5679.160607	5201.475666	5726.804349	6049.494401	5764.888415	5767.782689	5598.253004	5713.57995	5712.247634	6067.107994	5886.661171	5692.051325	13155.00232	5740.744043	5007.994639	5083.241317	5901.150649	5948.461508	6388.954246	5559.778997	5707.093044	5345.784627	6039.226926	6057.738144	5728.154121	5913.796775	6595.681153	5937.427136	5713.57995	6109.266527	5694.774183	5867.585935	5329.776851	6125.369455	6054.269454	6292.385304	5659.482501	5523.718416	5350.276199	5638.763319	5707.263228	5425.772648	5186.740604	5951.10131	5698.391869	5381.410935	5754.934135	5989.149028	5653.379451	5992.392257	6110.94729	5968.920886	5716.069475	5631.156847	5925.374916
"O14490-6"	8193.121399	9131.176166	9775.027648	9855.514444	9445.867433	9234.782835	8882.228467	8395.846957	8452.899192	8145.086354	9164.830458	8997.118156	9074.449288	8791.184892	8712.06513	9160.914832	5334.005188	9091.591889	9081.067068	8429.241153	9724.95104	9165.820809	8599.596019	8047.98613	9402.239303	8699.109218	9631.32851	9116.820252	8655.124458	9262.555343	10641.12688	9090.809462	8997.118156	8700.279092	8551.571084	7763.849744	9600.654901	9262.565295	9136.793191	8607.594947	9373.694397	9780.049932	9092.828382	9098.345384	9735.412307	9131.431407	9118.594192	9626.695168	8628.125179	8427.416242	9892.677774	8950.249717	9497.031896	8974.417117	8829.226595	7366.587968	8981.856113	9080.360285	8968.862191
